ID,Name,Parameter,Language,Frequency,Confidence,References
1A-bsq,Average,Consonant Inventories,Basque,,,Saltarelli et al. 1988
2A-bsq,Average (5-6),Vowel Quality Inventories,Basque,,,Saltarelli et al. 1988
3A-bsq,Moderately high,Consonant-Vowel Ratio,Basque,,,Saltarelli et al. 1988
4A-bsq,In plosives alone,Voicing in Plosives and Fricatives,Basque,,,Saltarelli et al. 1988
5A-bsq,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Basque,,,Saltarelli et al. 1988
6A-bsq,None,Uvular Consonants,Basque,,,Saltarelli et al. 1988
7A-bsq,No glottalized consonants,Glottalized Consonants,Basque,,,Saltarelli et al. 1988
8A-bsq,"/l/, no obstruent laterals",Lateral Consonants,Basque,,,Saltarelli et al. 1988
9A-bsq,No velar nasal,The Velar Nasal,Basque,,,Saltarelli et al. 1988
10A-bsq,Contrast absent,Vowel Nasalization,Basque,,,Saltarelli et al. 1988
11A-bsq,None,Front Rounded Vowels,Basque,,,Saltarelli et al. 1988
12A-bsq,Complex,Syllable Structure,Basque,,,Saltarelli et al. 1988
13A-bsq,No tones,Tone,Basque,,,Saltarelli et al. 1988
18A-bsq,All present,Absence of Common Consonants,Basque,,,Saltarelli et al. 1988
19A-bsq,None,Presence of Uncommon Consonants,Basque,,,Saltarelli et al. 1988
20A-bsq,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Basque,,,Saltarelli et al. 1988;Rebuschi 1984;Lafitte 1962;King 1993b;Allières 1979
21A-bsq,Monoexponential case,Exponence of Selected Inflectional Formatives,Basque,,,Lafitte 1962;King 1993b;Allières 1979;Saltarelli et al. 1988;Rebuschi 1984
21B-bsq,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Basque,,,Allières 1979;Rebuschi 1984;Lafitte 1962;Saltarelli et al. 1988;King 1993b
22A-bsq,4-5 categories per word,Inflectional Synthesis of the Verb,Basque,,,Saltarelli et al. 1988
23A-bsq,Double marking,Locus of Marking in the Clause,Basque,,,Lafitte 1962;King 1993b;Saltarelli et al. 1988
24A-bsq,Dependent marking,Locus of Marking in Possessive Noun Phrases,Basque,,,Lafitte 1962;King 1993b;Saltarelli et al. 1988
25A-bsq,Inconsistent or other,Locus of Marking: Whole-language Typology,Basque,,,King 1993b;Saltarelli et al. 1988;Lafitte 1962
25B-bsq,Non-zero marking,Zero Marking of A and P Arguments,Basque,,,Saltarelli et al. 1988;King 1993b;Lafitte 1962
26A-bsq,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Basque,,,Ithurry 1895;Hualde and Ortiz de Urbina 2003;Van Eys 1883;Urbina 1989;N'diaye 1970;Arotcarena 1976;Rebuschi 1984;Lafitte 1962;Saltarelli et al. 1988
27A-bsq,Productive full and partial reduplication,Reduplication,Basque,,,Trask 2001
28A-bsq,Core cases only,Case Syncretism,Basque,,,Saltarelli et al. 1988
29A-bsq,Not syncretic,Syncretism in Verbal Person/Number Marking,Basque,,,Saltarelli et al. 1988
30A-bsq,None,Number of Genders,Basque,,,Trask 1995
31A-bsq,No gender,Sex-based and Non-sex-based Gender Systems,Basque,,,Trask 1995
32A-bsq,No gender,Systems of Gender Assignment,Basque,,,Trask 1995
33A-bsq,Plural clitic,Coding of Nominal Plurality,Basque,,,Lafitte 1962;Saltarelli et al. 1988
34A-bsq,"All nouns, always obligatory",Occurrence of Nominal Plurality,Basque,,,Saltarelli et al. 1988
35A-bsq,Person-number stem,Plurality in Independent Personal Pronouns,Basque,,,Lafitte 1962
36A-bsq,Unique periphrastic associative plural,The Associative Plural,Basque,,,Azkue 1906
37A-bsq,Definite word distinct from demonstrative,Definite Articles,Basque,,,Saltarelli et al. 1988
38A-bsq,Indefinite word same as 'one',Indefinite Articles,Basque,,,Hualde and Ortiz de Urbina 2003
